,BCH-USD,BTC-USD,ETH-USD,LTC-USD,BCH-USD_price,BTC-USD_price,ETH-USD_price,LTC-USD_price,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-01 06:00:00,0.0,0.0,0.0,0.0,550.97,7044.9974999999995,286.065,63.6275,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:01:00,0.0,0.0,0.0,0.0,550.97,7044.994999999999,286.065,63.625,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:02:00,0.0,0.0,0.0,0.0,550.97,7044.9974999999995,286.065,63.62,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:03:00,0.0,0.0,0.0,0.0,550.965,7044.9974999999995,286.0675,63.620000000000005,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:04:00,0.0,0.0,0.0,0.0,550.965,7044.995,286.065,63.58,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:05:00,0.0,0.0,0.0,0.0,550.97,7045.0,286.065,63.56,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:06:00,0.0,0.0,0.0,0.0,550.97,7044.505,285.90999999999997,63.55,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:07:00,0.0,0.0,0.0,0.0,550.97,7043.797500000001,285.59250000000003,63.525000000000006,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:08:00,0.0,0.0,0.0,0.0,550.96,7043.585000000001,285.635,63.5125,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:09:00,0.0,0.0,0.0,0.0,550.97,7043.585000000001,285.655,63.4975,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:10:00,0.0,0.0,0.0,0.0,551.0550000000001,7043.5825,285.6525,63.4925,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:11:00,0.0,0.0,0.0,0.0,551.14,7043.587500000001,285.595,63.49,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:12:00,0.0,0.0,0.0,0.0,551.14,7043.587500000001,285.6,63.485,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:13:00,0.0,0.0,0.0,0.0,551.27,7043.587500000001,285.62,63.485,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:14:00,0.0,0.0,0.0,0.0,551.27,7042.0925,285.635,63.464999999999996,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:15:00,0.0,0.0,0.0,0.0,551.2525,7042.1849999999995,285.725,63.41,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:16:00,0.0,0.0,0.0,0.0,551.25,7042.055,285.79,63.445,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:17:00,0.0,0.0,0.0,0.0,551.435,7042.057500000001,285.8775,63.47,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:18:00,0.0,0.0,0.0,0.0,551.79,7042.0625,285.985,63.515,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:19:00,0.0,0.0,0.0,0.0,551.7225,7042.0625,286.02,63.54,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:20:00,0.0,0.0,0.0,0.0,551.54,7042.057500000001,286.06,63.535000000000004,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:21:00,0.0,0.0,0.0,0.0,551.6475,7042.055,286.065,63.535,100000.0,0.0,0.0,100000.0,0.0
2018-09-01 06:22:00,0.0,0.0,0.0,0.0,551.6175,7042.0525,286.065,63.5375,100000.0,0.0,0.0,100000.0,0.0
